"listpathway","Match"
" Gramine biosynthesis","L-Aspartic acid; L-Methionine; L-Tryptophan; L-Phenylalanine; L-Tyrosine; Indole; 3-(2-Hydroxyphenyl)propanoic acid; Gallic acid; 3-(2-hydroxyphenyl)prop-2-enoic acid; 15-Deacetylneosolaniol; Coumaric acid; Coumarin; Zeaxanthin; (3S,3'S,all-E)-Zeaxanthin; (3R,3'R,15-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,13-cis)-b,b-Carotene-3,3'-diol; Hordatine B; Scoparone; Umbelliferone; (-)-Matairesinol; Indolin-2-one; Safranal; Secoisolariciresinol; N1-trans-Feruloylagmatine"
" Grixazone biosynthesis","Pyruvic acid; L-Glutamic acid; Oxoglutaric acid; L-Alanine; L-Aspartic acid; L-Serine; L-Tryptophan; L-Phenylalanine; L-Tyrosine; L-Aspartate-semialdehyde; Phosphoserine; DL-O-Phosphoserine"
" Hordatine biosynthesis","L-Aspartic acid; L-Methionine; L-Tryptophan; L-Phenylalanine; L-Tyrosine; Indole; 3-(2-Hydroxyphenyl)propanoic acid; Gallic acid; 3-(2-hydroxyphenyl)prop-2-enoic acid; 15-Deacetylneosolaniol; Coumaric acid; Coumarin; Zeaxanthin; (3S,3'S,all-E)-Zeaxanthin; (3R,3'R,15-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,13-cis)-b,b-Carotene-3,3'-diol; Hordatine B; Scoparone; Umbelliferone; (-)-Matairesinol; Indolin-2-one; Safranal; Secoisolariciresinol; N1-trans-Feruloylagmatine"
" kanamycin and gentamicin biosynthesis","L-Glutamic acid"
" leucine and isoleucine biosynthesis","Pyruvic acid; L-Leucine; Alpha-ketoisovaleric acid; L-Valine; L-Threonine; L-Isoleucine; Citraconic acid; (R)-2,3-Dihydroxy-isovalerate; 2S-acetyl-2-hydroxy-butanoic acid; (R) 2,3-Dihydroxy-3-methylvalerate; (S)-2-Acetolactate"
" leucine and isoleucine degradation","L-Leucine; Alpha-ketoisovaleric acid; L-Valine; L-Isoleucine; (R)-b-aminoisobutyric acid; Methylmalonic acid; (S)-b-aminoisobutyric acid; (S)-3-Hydroxyisobutyric acid; 3-Hydroxyisovaleric acid"
" Lovastatin biosynthesis","Pyruvic acid; L-Glutamic acid; Oxoglutaric acid; L-Alanine; L-Aspartic acid; L-Serine; L-Tryptophan; L-Phenylalanine; L-Tyrosine; L-Aspartate-semialdehyde; Phosphoserine; DL-O-Phosphoserine"
" lysine and nicotinic acid","Pyruvic acid; L-Glutamic acid; Oxoglutaric acid; Succinic acid; L-Aspartic acid; L-Phenylalanine; Fumaric acid; L-Malic acid; Citric acid; Alpha-D-Glucose; Isocitric acid; L-Isoleucine; Pipecolic acid; L-Pipecolic acid; L(-)-Nicotine pestanal; Nicotine; Tropate; L-3-Phenyllactic acid; D-Phenyllactic acid; Anabasine"
" Mugineic acid biosynthesis","L-Aspartic acid; L-Methionine; L-Tryptophan; L-Phenylalanine; L-Tyrosine; Indole; 3-(2-Hydroxyphenyl)propanoic acid; Gallic acid; 3-(2-hydroxyphenyl)prop-2-enoic acid; 15-Deacetylneosolaniol; Coumaric acid; Coumarin; Zeaxanthin; (3S,3'S,all-E)-Zeaxanthin; (3R,3'R,15-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,13-cis)-b,b-Carotene-3,3'-diol; Hordatine B; Scoparone; Umbelliferone; (-)-Matairesinol; Indolin-2-one; Safranal; Secoisolariciresinol; N1-trans-Feruloylagmatine"
" Mycinamicin biosynthesis","Macrocin"
" Oleandomycin biosynthesis","Macrocin"
" Paerucumarin biosynthesis","Pyruvic acid; L-Glutamic acid; Oxoglutaric acid; L-Alanine; L-Aspartic acid; L-Serine; L-Tryptophan; L-Phenylalanine; L-Tyrosine; L-Aspartate-semialdehyde; Phosphoserine; DL-O-Phosphoserine"
" Pentagalloylglucose biosynthesis","L-Aspartic acid; L-Methionine; L-Tryptophan; L-Phenylalanine; L-Tyrosine; Indole; 3-(2-Hydroxyphenyl)propanoic acid; Gallic acid; 3-(2-hydroxyphenyl)prop-2-enoic acid; 15-Deacetylneosolaniol; Coumaric acid; Coumarin; Zeaxanthin; (3S,3'S,all-E)-Zeaxanthin; (3R,3'R,15-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,13-cis)-b,b-Carotene-3,3'-diol; Hordatine B; Scoparone; Umbelliferone; (-)-Matairesinol; Indolin-2-one; Safranal; Secoisolariciresinol; N1-trans-Feruloylagmatine"
" Pentalenolactone biosynthesis","Adenosine triphosphate; Pyruvic acid; L-Glutamic acid; Oxoglutaric acid; L-Aspartic acid; L-Serine; L-Tyrosine; L-Aspartate-semialdehyde; O-Acetylserine; Phosphoserine; DL-O-Phosphoserine"
" Pikromycin/methymycin biosynthesis","Macrocin"
" piperidine and pyridine alkaloid biosynthesis","L-Phenylalanine; Phenylpyruvic acid; L-Isoleucine; Pipecolic acid; L-Pipecolic acid; L(-)-Nicotine pestanal; Nicotine; Tropate; Phenyllactic acid; L-3-Phenyllactic acid; D-Phenyllactic acid; Anabasine; Ecgonine; Pseudoecgonine"
" Podophyllotoxin biosynthesis","L-Aspartic acid; L-Methionine; L-Tryptophan; L-Phenylalanine; L-Tyrosine; Indole; 3-(2-Hydroxyphenyl)propanoic acid; Gallic acid; 3-(2-hydroxyphenyl)prop-2-enoic acid; 15-Deacetylneosolaniol; Coumaric acid; Coumarin; Zeaxanthin; (3S,3'S,all-E)-Zeaxanthin; (3R,3'R,15-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,13-cis)-b,b-Carotene-3,3'-diol; Hordatine B; Scoparone; Umbelliferone; (-)-Matairesinol; Indolin-2-one; Safranal; Secoisolariciresinol; N1-trans-Feruloylagmatine"
" Puromycin biosynthesis","Adenosine triphosphate; Pyruvic acid; L-Glutamic acid; Oxoglutaric acid; L-Aspartic acid; L-Serine; L-Tyrosine; L-Aspartate-semialdehyde; O-Acetylserine; Phosphoserine; DL-O-Phosphoserine"
" Roseoflavin biosynthesis","Adenosine triphosphate; Pyruvic acid; L-Glutamic acid; Oxoglutaric acid; L-Aspartic acid; L-Serine; L-Tyrosine; L-Aspartate-semialdehyde; O-Acetylserine; Phosphoserine; DL-O-Phosphoserine"
" secretion and action","Adenosine monophosphate; DG(16:1(9Z)/16:1(9Z)/0:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0); Cyclic AMP; Calcidiol; Calcitriol; 24-Hydroxycalcitriol"
" serine and threonine metabolism","Pyruvic acid; Glycine; L-Aspartic acid; L-Serine; L-Tryptophan; L-Cysteine; L-Threonine; Sarcosine; D-2,3-Dihydroxypropanoic acid; Glyceric acid; L-Homoserine; 5-Aminolevulinic acid; L-Aspartate-semialdehyde; Pyruvaldehyde; Betaine; D-Serine; Phosphoserine; DL-O-Phosphoserine; Dimethylglycine; L-2-Amino-3-oxobutanoic acid; L-Allothreonine; 4-Acetamido-2-aminobutanoic acid"
" Solanine and tomatine biosynthesis","L-Tryptophan; L-Phenylalanine; Benzoate; Cholesterol; Vanillin; Methyl n-acetylanthranilate; 8-Methylnonenoate"
" Staphyloferrin A biosynthesis","Pyruvic acid; L-Glutamic acid; Oxoglutaric acid; L-Alanine; L-Aspartic acid; L-Serine; L-Tryptophan; L-Phenylalanine; L-Tyrosine; L-Aspartate-semialdehyde; Phosphoserine; DL-O-Phosphoserine"
" Staphyloferrin B biosynthesis","Pyruvic acid; L-Glutamic acid; Oxoglutaric acid; L-Alanine; L-Aspartic acid; L-Serine; L-Tryptophan; L-Phenylalanine; L-Tyrosine; L-Aspartate-semialdehyde; Phosphoserine; DL-O-Phosphoserine"
" suberine and wax biosynthesis","Hexadecanedioic acid; 9,10-Epoxystearic acid"
" Terpentecin biosynthesis","Adenosine triphosphate; Pyruvic acid; L-Glutamic acid; Oxoglutaric acid; L-Aspartic acid; L-Serine; L-Tyrosine; L-Aspartate-semialdehyde; O-Acetylserine; Phosphoserine; DL-O-Phosphoserine"
" tyrosine and tryptophan biosynthesis","L-Tryptophan; L-Phenylalanine; L-Tyrosine; Phenylpyruvic acid; Quinic acid; L-Aspartate-semialdehyde; Indole; 3-Dehydroquinate"
"2-Oxocarboxylic acid metabolism","Pyruvic acid; L-Glutamic acid; Oxoglutaric acid; L-Aspartic acid; L-Methionine; L-Tryptophan; L-Phenylalanine; L-Tyrosine; L-Leucine; Alpha-ketoisovaleric acid; Citric acid; Phenylpyruvic acid; L-Valine; Isocitric acid; Oxoadipic acid; L-Isoleucine; N-Acetylornithine; L-Aspartate-semialdehyde; N-Acetylglutamic acid; Aminoadipic acid; N-Acetyl-L-glutamate 5-semialdehyde; Homocitric acid; Citraconic acid; 2-Methylpropanal; (R)-2,3-Dihydroxy-isovalerate; 2S-acetyl-2-hydroxy-butanoic acid; (R) 2,3-Dihydroxy-3-methylvalerate; (S)-2-Acetolactate"
"ABC transporters","L-Glutamic acid; Glycine; L-Alanine; L-Aspartic acid; L-Glutamine; L-Serine; L-Phenylalanine; Sucrose; 2-{[3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol; D-Ribose; L-Leucine; L-Histidine; myo-Inositol; N-Acetyl-D-glucosamine; L-Proline; D-Xylose; Aldehydo-D-xylose; L-Valine; L-Threonine; D-Maltose; Alpha-Lactose; Taurine; Riboflavin; Inosine; Uridine; L-Isoleucine; 5-Aminolevulinic acid; Pectic acid; L-Cystine; Raffinose; Betaine; Neotrehalose; Trehalose; 4-Hydroxy-2-pyrrolidinecarboxylic acid; 4-Hydroxyproline; Allose; Phthalic acid; Xanthosine; Maltotriose; Melibiose; Deoxyinosine"
"Adipocytokine signaling pathway","DG(16:1(9Z)/16:1(9Z)/0:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0); Ceramide (d18:1/20:0); Ceramide (d18:1/24:0); Ceramide (d18:1/16:0); Cer(d18:1/24:1(15Z)); Ceramide (d18:1/22:0); 9-cis-Retinoic acid"
"Adrenergic signaling in cardiomyocytes","DG(16:1(9Z)/16:1(9Z)/0:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0); Cyclic AMP; Epinephrine"
"African trypanosomiasis","L-Tryptophan; DG(16:1(9Z)/16:1(9Z)/0:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0); Prostaglandin E2; 7-hydroxy-D4-neuroprostane; 20-hydroxy-E4-neuroprostane; 17-hydroxy-E4-neuroprostane; 14-hydroxy-E4-neuroprostane; 4-hydroxy-D4-neuroprostane; Prostaglandin D2"
"AGE-RAGE signaling pathway in diabetic complications","DG(16:1(9Z)/16:1(9Z)/0:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0); Ceramide (d18:1/20:0); Ceramide (d18:1/24:0); Ceramide (d18:1/16:0); Cer(d18:1/24:1(15Z)); Ceramide (d18:1/22:0)"
"Alanine","Pyruvic acid; L-Glutamic acid; Oxoglutaric acid; L-Alanine; Succinic acid; L-Aspartic acid; L-Glutamine; Fumaric acid; L-Asparagine; Citric acid; Gamma-Aminobutyric acid; D-Aspartic acid; N-Acetyl-L-aspartic acid"
"Alcoholic liver disease","Acetic acid"
"Alcoholism","L-Glutamic acid; L-Tyrosine; Cyclic AMP"
"Aldosterone synthesis and secretion","Adenosine monophosphate; DG(16:1(9Z)/16:1(9Z)/0:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0); Cholesterol; Arachidonic acid; Arachidonate; Cyclic AMP; 18-Hydroxycorticosterone; Pregnenolone; Corticosterone"
"Aldosterone-regulated sodium reabsorption","Cyclic AMP; Cortisol; Hydrocortisone"
"alpha-Linolenic acid metabolism","PC(15:0/18:3(6Z,9Z,12Z)); PC(24:1(15Z)/P-16:0); PC(15:0/20:4(5Z,8Z,11Z,14Z)); PC(22:0/P-18:1(9Z)); PC(15:0/18:3(9Z,12Z,15Z)); PC(22:1(13Z)/P-18:0); PC(18:2(9Z,12Z)/16:0); PC(22:0/P-18:1(11Z)); PC(15:0/20:2(11Z,14Z)); PC(20:2(11Z,14Z)/15:0); PC(15:0/18:4(6Z,9Z,12Z,15Z)); PC(22:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)); PC(14:1(9Z)/22:2(13Z,16Z)); PC(20:1(11Z)/14:1(9Z)); PC(20:2(11Z,14Z)/14:0); PC(15:0/14:0); PC(15:0/22:5(4Z,7Z,10Z,13Z,16Z)); PC(22:4(7Z,10Z,13Z,16Z)/22:2(13Z,16Z)); PC(18:1(9Z)/18:2(9Z,12Z)); PC(14:0/15:0); PC(18:2(9Z,12Z)/18:1(9Z)); PC(22:5(7Z,10Z,13Z,16Z,19Z)/22:1(13Z)); PC(22:5(4Z,7Z,10Z,13Z,16Z)/22:1(13Z)); PC(22:5(7Z,10Z,13Z,16Z,19Z)/15:0); PC(20:4(5Z,8Z,11Z,14Z)/15:0); PC(20:4(8Z,11Z,14Z,17Z)/15:0); PC(16:1(9Z)/18:1(11Z)); PC(18:1(9Z)/16:1(9Z)); PC(18:3(6Z,9Z,12Z)/15:0); PC(20:2(11Z,14Z)/16:1(9Z)); PC(18:0/18:3(9Z,12Z,15Z)); PC(14:0/20:2(11Z,14Z)); PC(18:4(6Z,9Z,12Z,15Z)/15:0); PC(18:1(11Z)/16:1(9Z)); PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:0); PC(22:5(4Z,7Z,10Z,13Z,16Z)/15:0); PC(16:0/18:2(9Z,12Z)); PC(24:1(15Z)/20:5(5Z,8Z,11Z,14Z,17Z)); PC(20:5(5Z,8Z,11Z,14Z,17Z)/24:1(15Z)); PC(22:1(13Z)/22:5(7Z,10Z,13Z,16Z,19Z)); PC(16:1(9Z)/20:2(11Z,14Z)); PC(14:1(9Z)/20:1(11Z)); PC(18:2(9Z,12Z)/15:0); PC(22:2(13Z,16Z)/22:4(7Z,10Z,13Z,16Z)); PC(18:0/18:3(6Z,9Z,12Z)); PC(16:1(9Z)/18:1(9Z)); PC(15:0/22:5(7Z,10Z,13Z,16Z,19Z)); PC(18:2(9Z,12Z)/18:1(11Z)); PC(15:0/18:2(9Z,12Z)); PC(18:3(9Z,12Z,15Z)/15:0); PC(18:1(11Z)/18:2(9Z,12Z)); PC(15:0/20:4(8Z,11Z,14Z,17Z)); PC(16:0/20:3(8Z,11Z,14Z)); PC(15:0/16:1(9Z)); PC(16:0/20:3(5Z,8Z,11Z)); PC(22:1(13Z)/22:5(4Z,7Z,10Z,13Z,16Z)); PC(22:2(13Z,16Z)/14:1(9Z)); PC(20:3(8Z,11Z,14Z)/16:0); PC(18:3(6Z,9Z,12Z)/18:0); PC(16:1(9Z)/15:0); PC(20:3(5Z,8Z,11Z)/16:0); PC(18:4(6Z,9Z,12Z,15Z)/P-16:0); PC(18:3(9Z,12Z,15Z)/18:0); Alpha-Linolenic acid; (E)-3-Hexen-1-ol; Methyl jasmonate; Stearidonic acid; 6,9,12,15-octadecatetraenoic acid; Traumatic acid; Traumatin; 13S-HOTrE; 17-Hydroxylinolenic acid"
"Amino sugar and nucleotide sugar metabolism","N-Acetyl-D-glucosamine; D-Xylose; Aldehydo-D-xylose; UDP-D-Xylose; Glucuronic acid; Alpha-D-Glucose; N-Acetylmannosamine; UDP-L-arabinose; D-Galactose; L-Fucose; UDP-D-apiose; D-Fructose"
"Aminoacyl-tRNA biosynthesis","L-Glutamic acid; Glycine; L-Alanine; L-Aspartic acid; L-Glutamine; L-Serine; L-Methionine; L-Tryptophan; L-Phenylalanine; L-Tyrosine; L-Cysteine; L-Leucine; L-Histidine; L-Proline; L-Asparagine; L-Valine; L-Threonine; L-Isoleucine; Phosphoserine; DL-O-Phosphoserine"
"Aminobenzoate degradation","Benzoate; 2-Pyrocatechuic acid; Protocatechuic acid; Hydroquinone; Vanillin; Gallic acid; (R)-mandelic Acid; Mandelic acid; 1,3,5-Trihydroxybenzene; benzene-1,2,4-triol; 4-Hydroxy-3-methoxybenzenemethanol; Terephthalic acid; Syringic acid"
"Amoebiasis","DG(16:1(9Z)/16:1(9Z)/0:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0); Arachidonic acid; Arachidonate; Cyclic AMP; Prostaglandin E2; 7-hydroxy-D4-neuroprostane; 20-hydroxy-E4-neuroprostane; 17-hydroxy-E4-neuroprostane; 14-hydroxy-E4-neuroprostane; 4-hydroxy-D4-neuroprostane; N-Acetylgalactosamine"
"Amphetamine addiction","L-Glutamic acid; L-Tyrosine; Cyclic AMP"
"AMPK signaling pathway","ADP; Adenosine monophosphate; Pyruvic acid"
"Amyotrophic lateral sclerosis","ADP; L-Glutamic acid"
"Anthocyanin biosynthesis","Ternatin"
"Anticonvulsants","Nirvanol"
"Antifolate resistance","Adenosine monophosphate; L-Methionine; Inosinic acid"
"Apelin signaling pathway","DG(16:1(9Z)/16:1(9Z)/0:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0); Cyclic AMP; Sphingosine 1-phosphate"
