"listpathway","Match"
" leucine and isoleucine biosynthesis","Pyruvic acid; Pyruvic acid; L-Leucine; L-Leucine; Alpha-ketoisovaleric acid; Alpha-ketoisovaleric acid; L-Valine; L-Valine; L-Threonine; L-Threonine; L-Isoleucine; L-Isoleucine; Citraconic acid; Citraconic acid; (R)-2,3-Dihydroxy-isovalerate; (R)-2,3-Dihydroxy-isovalerate; 2S-acetyl-2-hydroxy-butanoic acid; 2S-acetyl-2-hydroxy-butanoic acid; (R) 2,3-Dihydroxy-3-methylvalerate; (R) 2,3-Dihydroxy-3-methylvalerate; (S)-2-Acetolactate; (S)-2-Acetolactate"
" leucine and isoleucine degradation","L-Leucine; L-Leucine; Alpha-ketoisovaleric acid; Alpha-ketoisovaleric acid; L-Valine; L-Valine; L-Isoleucine; L-Isoleucine; (R)-b-aminoisobutyric acid; (R)-b-aminoisobutyric acid; Methylmalonic acid; Methylmalonic acid; (S)-b-aminoisobutyric acid; (S)-b-aminoisobutyric acid; (S)-3-Hydroxyisobutyric acid; (S)-3-Hydroxyisobutyric acid; 3-Hydroxyisovaleric acid; 3-Hydroxyisovaleric acid"
" Lovastatin biosynthesis","Pyruvic acid; Pyruvic acid; L-Glutamic acid; L-Glutamic acid; Oxoglutaric acid; Oxoglutaric acid; L-Alanine; L-Alanine; L-Aspartic acid; L-Aspartic acid; L-Serine; L-Serine; L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; L-Tyrosine; L-Tyrosine; L-Aspartate-semialdehyde; L-Aspartate-semialdehyde; Phosphoserine; DL-O-Phosphoserine; Phosphoserine; DL-O-Phosphoserine"
" lysine and nicotinic acid","Pyruvic acid; Pyruvic acid; L-Glutamic acid; L-Glutamic acid; Oxoglutaric acid; Oxoglutaric acid; Succinic acid; Succinic acid; L-Aspartic acid; L-Aspartic acid; L-Phenylalanine; L-Phenylalanine; Fumaric acid; Fumaric acid; L-Malic acid; L-Malic acid; Citric acid; Citric acid; Alpha-D-Glucose; Alpha-D-Glucose; Isocitric acid; Isocitric acid; L-Isoleucine; L-Isoleucine; Pipecolic acid; L-Pipecolic acid; L-Pipecolic acid; Pipecolic acid; L(-)-Nicotine pestanal; Nicotine; Tropate; Tropate; L-3-Phenyllactic acid; L-3-Phenyllactic acid; D-Phenyllactic acid; D-Phenyllactic acid; Anabasine; Anabasine"
" Mugineic acid biosynthesis","L-Aspartic acid; L-Aspartic acid; L-Methionine; L-Methionine; L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; L-Tyrosine; L-Tyrosine; Indole; Indole; 3-(2-Hydroxyphenyl)propanoic acid; 3-(2-Hydroxyphenyl)propanoic acid; Gallic acid; Gallic acid; 3-(2-hydroxyphenyl)prop-2-enoic acid; 3-(2-hydroxyphenyl)prop-2-enoic acid; 15-Deacetylneosolaniol; 15-Deacetylneosolaniol; Coumaric acid; Coumaric acid; Coumarin; Coumarin; Zeaxanthin; (3S,3'S,all-E)-Zeaxanthin; (3R,3'R,15-cis)-b,b-Carotene-3,3'-diol; Zeaxanthin; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,13-cis)-b,b-Carotene-3,3'-diol; (3S,3'S,all-E)-Zeaxanthin; Hordatine B; Hordatine B; Scoparone; Scoparone; Umbelliferone; Umbelliferone; (-)-Matairesinol; (-)-Matairesinol; Indolin-2-one; Indolin-2-one; Safranal; Safranal; Secoisolariciresinol; Secoisolariciresinol; N1-trans-Feruloylagmatine; N1-trans-Feruloylagmatine"
" Mycinamicin biosynthesis","Macrocin; Macrocin"
" Oleandomycin biosynthesis","Macrocin; Macrocin"
" Paerucumarin biosynthesis","Pyruvic acid; Pyruvic acid; L-Glutamic acid; L-Glutamic acid; Oxoglutaric acid; Oxoglutaric acid; L-Alanine; L-Alanine; L-Aspartic acid; L-Aspartic acid; L-Serine; L-Serine; L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; L-Tyrosine; L-Tyrosine; L-Aspartate-semialdehyde; L-Aspartate-semialdehyde; Phosphoserine; DL-O-Phosphoserine; Phosphoserine; DL-O-Phosphoserine"
" Pentagalloylglucose biosynthesis","L-Aspartic acid; L-Aspartic acid; L-Methionine; L-Methionine; L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; L-Tyrosine; L-Tyrosine; Indole; Indole; 3-(2-Hydroxyphenyl)propanoic acid; 3-(2-Hydroxyphenyl)propanoic acid; Gallic acid; Gallic acid; 3-(2-hydroxyphenyl)prop-2-enoic acid; 3-(2-hydroxyphenyl)prop-2-enoic acid; 15-Deacetylneosolaniol; 15-Deacetylneosolaniol; Coumaric acid; Coumaric acid; Coumarin; Coumarin; Zeaxanthin; (3S,3'S,all-E)-Zeaxanthin; (3R,3'R,15-cis)-b,b-Carotene-3,3'-diol; Zeaxanthin; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,13-cis)-b,b-Carotene-3,3'-diol; (3S,3'S,all-E)-Zeaxanthin; Hordatine B; Hordatine B; Scoparone; Scoparone; Umbelliferone; Umbelliferone; (-)-Matairesinol; (-)-Matairesinol; Indolin-2-one; Indolin-2-one; Safranal; Safranal; Secoisolariciresinol; Secoisolariciresinol; N1-trans-Feruloylagmatine; N1-trans-Feruloylagmatine"
" Pentalenolactone biosynthesis","Adenosine triphosphate; Adenosine triphosphate; Pyruvic acid; Pyruvic acid; L-Glutamic acid; L-Glutamic acid; Oxoglutaric acid; Oxoglutaric acid; L-Aspartic acid; L-Aspartic acid; L-Serine; L-Serine; L-Tyrosine; L-Tyrosine; L-Aspartate-semialdehyde; L-Aspartate-semialdehyde; O-Acetylserine; O-Acetylserine; Phosphoserine; DL-O-Phosphoserine; Phosphoserine; DL-O-Phosphoserine"
" Pikromycin/methymycin biosynthesis","Macrocin; Macrocin"
" piperidine and pyridine alkaloid biosynthesis","L-Phenylalanine; L-Phenylalanine; Phenylpyruvic acid; Phenylpyruvic acid; L-Isoleucine; L-Isoleucine; Pipecolic acid; L-Pipecolic acid; L-Pipecolic acid; Pipecolic acid; L(-)-Nicotine pestanal; Nicotine; Tropate; Tropate; Phenyllactic acid; Phenyllactic acid; L-3-Phenyllactic acid; L-3-Phenyllactic acid; D-Phenyllactic acid; D-Phenyllactic acid; Anabasine; Anabasine; Ecgonine; Ecgonine; Pseudoecgonine; Pseudoecgonine"
" Podophyllotoxin biosynthesis","L-Aspartic acid; L-Aspartic acid; L-Methionine; L-Methionine; L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; L-Tyrosine; L-Tyrosine; Indole; Indole; 3-(2-Hydroxyphenyl)propanoic acid; 3-(2-Hydroxyphenyl)propanoic acid; Gallic acid; Gallic acid; 3-(2-hydroxyphenyl)prop-2-enoic acid; 3-(2-hydroxyphenyl)prop-2-enoic acid; 15-Deacetylneosolaniol; 15-Deacetylneosolaniol; Coumaric acid; Coumaric acid; Coumarin; Coumarin; Zeaxanthin; (3S,3'S,all-E)-Zeaxanthin; (3R,3'R,15-cis)-b,b-Carotene-3,3'-diol; Zeaxanthin; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,13-cis)-b,b-Carotene-3,3'-diol; (3S,3'S,all-E)-Zeaxanthin; Hordatine B; Hordatine B; Scoparone; Scoparone; Umbelliferone; Umbelliferone; (-)-Matairesinol; (-)-Matairesinol; Indolin-2-one; Indolin-2-one; Safranal; Safranal; Secoisolariciresinol; Secoisolariciresinol; N1-trans-Feruloylagmatine; N1-trans-Feruloylagmatine"
" Puromycin biosynthesis","Adenosine triphosphate; Adenosine triphosphate; Pyruvic acid; Pyruvic acid; L-Glutamic acid; L-Glutamic acid; Oxoglutaric acid; Oxoglutaric acid; L-Aspartic acid; L-Aspartic acid; L-Serine; L-Serine; L-Tyrosine; L-Tyrosine; L-Aspartate-semialdehyde; L-Aspartate-semialdehyde; O-Acetylserine; O-Acetylserine; Phosphoserine; DL-O-Phosphoserine; Phosphoserine; DL-O-Phosphoserine"
" Roseoflavin biosynthesis","Adenosine triphosphate; Adenosine triphosphate; Pyruvic acid; Pyruvic acid; L-Glutamic acid; L-Glutamic acid; Oxoglutaric acid; Oxoglutaric acid; L-Aspartic acid; L-Aspartic acid; L-Serine; L-Serine; L-Tyrosine; L-Tyrosine; L-Aspartate-semialdehyde; L-Aspartate-semialdehyde; O-Acetylserine; O-Acetylserine; Phosphoserine; DL-O-Phosphoserine; Phosphoserine; DL-O-Phosphoserine"
" secretion and action","Adenosine monophosphate; Adenosine monophosphate; DG(16:1(9Z)/16:1(9Z)/0:0); DG(16:1(9Z)/16:1(9Z)/0:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0); DG(16:1(9Z)/16:1(9Z)/0:0); DG(16:1(9Z)/16:1(9Z)/0:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0); Cyclic AMP; Cyclic AMP; Cyclic AMP; Cyclic AMP; Calcidiol; Calcidiol; Calcitriol; Calcitriol; 24-Hydroxycalcitriol; 24-Hydroxycalcitriol"
" serine and threonine metabolism","Pyruvic acid; Pyruvic acid; Glycine; Glycine; L-Aspartic acid; L-Aspartic acid; L-Serine; L-Serine; L-Tryptophan; L-Tryptophan; L-Cysteine; L-Cysteine; L-Threonine; L-Threonine; Sarcosine; Sarcosine; D-2,3-Dihydroxypropanoic acid; Glyceric acid; Glyceric acid; D-2,3-Dihydroxypropanoic acid; L-Homoserine; L-Homoserine; 5-Aminolevulinic acid; 5-Aminolevulinic acid; L-Aspartate-semialdehyde; L-Aspartate-semialdehyde; Pyruvaldehyde; Pyruvaldehyde; Betaine; Betaine; D-Serine; D-Serine; Phosphoserine; DL-O-Phosphoserine; Phosphoserine; DL-O-Phosphoserine; Dimethylglycine; Dimethylglycine; L-2-Amino-3-oxobutanoic acid; L-2-Amino-3-oxobutanoic acid; L-Allothreonine; L-Allothreonine; 4-Acetamido-2-aminobutanoic acid; 4-Acetamido-2-aminobutanoic acid"
" Solanine and tomatine biosynthesis","L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; Benzoate; Benzoate; Cholesterol; Cholesterol; Vanillin; Vanillin; Methyl n-acetylanthranilate; Methyl n-acetylanthranilate; 8-Methylnonenoate; 8-Methylnonenoate"
" Staphyloferrin A biosynthesis","Pyruvic acid; Pyruvic acid; L-Glutamic acid; L-Glutamic acid; Oxoglutaric acid; Oxoglutaric acid; L-Alanine; L-Alanine; L-Aspartic acid; L-Aspartic acid; L-Serine; L-Serine; L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; L-Tyrosine; L-Tyrosine; L-Aspartate-semialdehyde; L-Aspartate-semialdehyde; Phosphoserine; DL-O-Phosphoserine; Phosphoserine; DL-O-Phosphoserine"
" Staphyloferrin B biosynthesis","Pyruvic acid; Pyruvic acid; L-Glutamic acid; L-Glutamic acid; Oxoglutaric acid; Oxoglutaric acid; L-Alanine; L-Alanine; L-Aspartic acid; L-Aspartic acid; L-Serine; L-Serine; L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; L-Tyrosine; L-Tyrosine; L-Aspartate-semialdehyde; L-Aspartate-semialdehyde; Phosphoserine; DL-O-Phosphoserine; Phosphoserine; DL-O-Phosphoserine"
" suberine and wax biosynthesis","Hexadecanedioic acid; Hexadecanedioic acid; 9,10-Epoxystearic acid; 9,10-Epoxystearic acid"
" Terpentecin biosynthesis","Adenosine triphosphate; Adenosine triphosphate; Pyruvic acid; Pyruvic acid; L-Glutamic acid; L-Glutamic acid; Oxoglutaric acid; Oxoglutaric acid; L-Aspartic acid; L-Aspartic acid; L-Serine; L-Serine; L-Tyrosine; L-Tyrosine; L-Aspartate-semialdehyde; L-Aspartate-semialdehyde; O-Acetylserine; O-Acetylserine; Phosphoserine; DL-O-Phosphoserine; Phosphoserine; DL-O-Phosphoserine"
" tyrosine and tryptophan biosynthesis","L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; L-Tyrosine; L-Tyrosine; Phenylpyruvic acid; Phenylpyruvic acid; Quinic acid; Quinic acid; L-Aspartate-semialdehyde; L-Aspartate-semialdehyde; Indole; Indole; 3-Dehydroquinate; 3-Dehydroquinate"
